Postal code,Borough,Neighborhood
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M5A,Downtown Toronto,Regent Park
M5A,Downtown Toronto,Harbourfront
M6A,North York,Lawrence Manor
M6A,North York,Lawrence Heights
M7A,Downtown Toronto,Queen's Park
M7A,Downtown Toronto,Ontario Provincial Government
M9A,Etobicoke,Islington Avenue
M1B,Etobicoke,Malvern
M1B,Scarborough,Rouge
M3B,North York,Don Mills
M4B,East York,Parkview Hill
M4B,East York,Woodbine Gardens
M5B,Downtown Toronto,Garden District
M5B,Downtown Toronto,Ryerson
M6B,North York,Glencairn
M9B,Etobicoke,West Deane Park
M9B,Etobicoke,Princess Gardens
M9B,Etobicoke,Martin Grove
M9B,Etobicoke,Islington
M9B,Etobicoke,Cloverdale
M1C,Scarborough,Rouge Hill
M1C,Scarborough,Port Union
M1C,Scarborough,Highland Creek
M3C,North York,Don Mills
M4C,East York,Woodbine Heights
M5C,Downtown Toronto,St. James Town
M6C,York,Humewood-Cedarvale
M9C,Etobicoke,Eringate
M9C,Etobicoke,Bloordale Gardens
M9C,Etobicoke,Old Burnhamthorpe
M9C,Etobicoke,Markland Wood
M1E,Scarborough,Guildwood
M1E,Scarborough,Morningside
M1E,Scarborough,West Hill
M4E,East Toronto,The Beaches
M5E,Downtown Toronto,Berczy Park
M6E,York,Caledonia-Fairbanks
M1G,Scarborough,Woburn
M4G,East York,Leaside
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M1H,Scarborough,Cedarbrae
M2H,North York,Hillcrest Village
M3H,North York,Bathurst Manor
M3H,North York,Wilson Heights
M3H,North York,Downsview North
M4H,East York,Thorncliffe Park
M5H,Downtown Toronto,Richmond
M5H,Downtown Toronto,Adelaide
M5H,Downtown Toronto,King
M6H,West Toronto,Dufferin
M6H,West Toronto,Dovercourt Village
M1J,Scarborough,Scarborough Village
M2J,North York,Fairview
M2J,North York,Henry Farm
M2J,North York,Oriole
M3J,North York,Northwood Park
M3J,North York,York University
M4J,East York,East Toronto
M5J,Downtown Toronto,Harbourfront East
M5J,Downtown Toronto,Union Station
M5J,Downtown Toronto,Toronto Islands
M6J,West Toronto,Little Portugal
M6J,West Toronto,Trinity
M1K,Scarborough,Kennedy Park
M1K,Scarborough,Ionview
M1K,Scarborough,East Birchmount Park
M2K,North York,Bayview Village
M3K,North York,Downsview
M4K,East Toronto,The Danforth West
M4K,East Toronto,Riverdale
M5K,Downtown Toronto,Toronto Dominion Centre
M5K,Downtown Toronto,Design Exchange
M6K,West Toronto,Brockton
M6K,West Toronto,Parkdale Village
M6K,West Toronto,Exhibition Place
M1L,Scarborough,Golden Mile
M1L,Scarborough,Clairlea
M1L,Scarborough,Oakridge
M2L,North York,Silver Hills
M2L,North York,York Mills
M3L,North York,Downsview
M4L,East Toronto,India Bazaar
M4L,East Toronto,The Beaches West
M5L,Downtown Toronto,Commerce Court
M5L,Downtown Toronto,Victoria Hotel
M6L,North York,North Park
M6L,North York,Maple Leaf Park
M6L,North York,Upwood Park
M9L,North York,Humber Summit
M1M,Scarborough,Cliffside
M1M,Scarborough,Cliffcrest
M1M,Scarborough,Scarborough Village West
M2M,North York,Willowdale
M2M,North York,Newtonbrook
M3M,North York,Downsview
